id,name,organization,unique_id,award_method,deadline,publish_date,details_link
1529,Абонаментна поддръжка на асансьорните уредби на “УМБАЛСМ Н. И. Пирогов” ЕАД за период от 3 години,УНИВЕРСИТЕТСКА МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ И СПЕШНА МЕДИЦИНА Н.И. ПИРОГОВ ЕАД,00693-2024-0072,Открита процедура,2024-12-12,2024-12-11,https://app.eop.bg/today/440453
1530,PPS24-161 „Комплексно обслужване от служба по трудова медицина за работниците и служителите на „Електроразпределителни мрежи Запад“ ЕАД“,Електроразпределителни мрежи Запад ЕАД,01467-2024-0081,Открита процедура,2024-12-13,2024-12-11,https://app.eop.bg/today/440152
1531,„Доставка на активна електрическа енергия за нуждите на Изпълнителна агенция „Автомобилна администрация“,"ИЗПЪЛНИТЕЛНА АГЕНЦИЯ ""АВТОМОБИЛНА АДМИНИСТРАЦИЯ""",00032-2024-0014,Открита процедура,2024-12-13,2024-12-11,https://app.eop.bg/today/439924
1532,"“ДОСТАВКА НА ХРАНИТЕЛНИ ПРОДУКТИ ЗА НУЖДИТЕ НА ДЕТСКИТЕ ГРАДИНИ, ДОМАШНИЯ СОЦИАЛЕН ПАТРОНАЖ И ОБЩЕСТВЕНАТА ТРАПЕЗАРИЯ НА ТЕРИТОРИЯТА НА ОБЩИНА КОСТЕНЕЦ“",ОБЩИНА КОСТЕНЕЦ,00484-2024-0031,Открита процедура,2024-12-13,2024-12-11,https://app.eop.bg/today/439848
1533,Зимно поддържане – снегопочистване и опесъчаване на общински пътища и улици на територията на община Неделино през оперативния зимен сезон 2025г.; 2026г.; 2027г. и 2028г. по осем обособени позиции,ОБЩИНА НЕДЕЛИНО,01019-2024-0012,Открита процедура,2024-12-16,2024-12-11,https://app.eop.bg/today/439197
1534,"„Периодична изработка, доставка и монтаж на мебели за нуждите на „СБР-НК“ ЕАД“",СПЕЦИАЛИЗИРАНИ БОЛНИЦИ ЗА РЕХАБИЛИТАЦИЯ - НАЦИОНАЛЕН КОМПЛЕКС ЕАД,00120-2024-0011,Открита процедура,2024-12-11,2024-12-11,https://app.eop.bg/today/438778
1535,„Изграждане на независима инфраструктура на националния компетентен орган (НКО) за сектор „Енергетика“ и екипа за реагиране при инциденти с компютърната сигурност (ЕРИКС) за нуждите на Министерство на енергетиката“,ИНФОРМАЦИОННО ОБСЛУЖВАНЕ АД,05948-2024-0126,Открита процедура,2024-12-11,2024-12-11,https://app.eop.bg/today/437850
1536,"""Доставка на лабораторно оборудване за нуждите  на договор с ЦНИП по  БН-ИФ  309/24 г., 4 обособени позиции”","УНИВЕРСИТЕТ ПО АРХИТЕКТУРА, СТРОИТЕЛСТВО И ГЕОДЕЗИЯ",00859-2024-0017,Открита процедура,2024-12-12,2024-12-11,https://app.eop.bg/today/437416
1537,„Предоставяне на eлектронни съобщителни услуги чрез обществена фиксирана електронна съобщителна мрежа за нуждите на „Напоителни системи“ ЕАД“,НАПОИТЕЛНИ СИСТЕМИ ЕАД,02023-2024-0014,Открита процедура,2024-12-12,2024-12-11,https://app.eop.bg/today/437402
1600,„Доставка на резервни части за релсови самоходни машини Матиса за срок от една година”,"НАЦИОНАЛНА КОМПАНИЯ ""ЖЕЛЕЗОПЪТНА ИНФРАСТРУКТУРА"" ДП",00233-2024-0086,Открита процедура,2025-01-06,2024-12-11,https://app.eop.bg/today/422179
1538,"Доставка на нетна електрическа енергия ниско напрежение, по свободно договорени цени и изпълнение на функциите на координатор на стандртна балансираща група за обекти - недивжими имоти предоставени за управление на ОДМВР Ловеч",Областна дирекция на МВР (ОДМВР) - Ловеч,03042-2024-0003,Открита процедура,2024-12-11,2024-12-11,https://app.eop.bg/today/434904
1539,"«Доставка чрез закупуване на резервни части, консумативи и гуми за селскостопански машини, за превозни средства, както и за машини за извършване на изкопно – насипни работи, строителни машини и оборудване за срок от 24 месеца по обособени позиции за нуждите на ТП ДГС «Хисар» и ТП ДЛС «Кричим»:   ОП №1 «Доставка на гуми за мотоциклети, автомобили и микробуси» (в т.ч. монтаж, демонтаж, лепене, баланс на гуми, изправяне на джанти и др.) за нуждите на ТП ДГС «Хисар""   ОП №2 «Доставка на гуми за селскостопански машини, камиони самосвали, машини за извършване на изкопно – насипни работи, строителни машини и оборудване» (в т.ч. монтаж, демонтаж, лепене, баланс на гуми, изправяне на джанти и др.) за нуждите на ТП ДГС «Хисар"" «Доставка на гуми за мотоциклети, автомобили и микробуси» (в т.ч. монтаж, демонтаж, лепене, баланс на гуми, изправяне на джанти и др.) за нуждите на ТП ДЛС «Кричим""",ЮЖНОЦЕНТРАЛНО ДЪРЖАВНО ПРЕДПРИЯТИЕ ДП,02718-2024-0212,Открита процедура,2024-12-16,2024-12-11,https://app.eop.bg/today/434432
