id,name,organization,unique_id,award_method,deadline,publish_date,details_link
622,"„Инженеринг за асфалтиране на улици в гр. Сливен, кв. Речица, след изпълнение на воден цикъл“",ОБЩИНА СЛИВЕН,00118-2024-0050,Открита процедура,2025-01-07,2024-12-05,https://app.eop.bg/today/415710
623,Доставка на природен газ за нуждите на „ЦПЗ Враца” ЕООД - Договаряне без предварително обявление,ЦЕНТЪР ЗА ПСИХИЧНО ЗДРАВЕ - ВРАЦА ЕООД,00686-2024-0003,Договаряне без предварително обявление,2024-12-16,2024-12-05,https://app.eop.bg/today/447801
624,"""Изграждане на системи за видеонаблюдение във войскови райони на военно формирование 32300 и осъществяване на гаранционна техническа поддръжка""",Командване на военноморските сили,02899-2024-0042,Публично състезание,2025-01-10,2024-12-05,https://app.eop.bg/today/446989
625,"""Избор на изпълнител за инженеринг - проектиране и реализиране на СМР в СДВНЧ - София""",МВР - ДИРЕКЦИЯ МИГРАЦИЯ,05615-2024-0008,Публично състезание,2025-01-03,2024-12-04,https://app.eop.bg/today/406045
626,"„Доставка, монтаж и гаранционно обслужване на  мултимедиен проектор за 3D мапинг и аксесоари към него, и обучение на служители на възложителя за работа с проектора“","МУЗИКАЛНО-ДРАМАТИЧЕН ТЕАТЪР ""КОНСТАНТИН КИСИМОВ""",04547-2024-0002,Събиране на оферти с обява,2024-12-16,2024-12-04,https://app.eop.bg/today/446532
627,"Изпълнение на инженеринг/проектиране, строителство и упражняване на авторски надзор/ за обект:  ОСНОВЕН РЕМОНТ НА СТАДИОН ""АПРИЛОВ"", ГРАД ГАБРОВО",ОБЩИНА ГАБРОВО,00038-2024-0088,Публично състезание,2025-01-07,2024-12-04,https://app.eop.bg/today/441594
628,„Ремонт на училищна учебна кухня в ПГ по МСС „Пейо К. Яворов“ гр. Гоце Делчев“,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО МЕХАНИЗАЦИЯ НА СЕЛСКОТО СТОПАНСТВО ""ПЕЙО К. ЯВОРОВ""",01374-2024-0003,Събиране на оферти с обява,2024-12-16,2024-12-04,https://app.eop.bg/today/447775
629,Застраховане на имуществото и служителите на Национален статистически институт по обособени позиции,НАЦИОНАЛЕН СТАТИСТИЧЕСКИ ИНСТИТУТ,00403-2024-0030,Събиране на оферти с обява,2024-12-16,2024-12-04,https://app.eop.bg/today/447740
630,„Консултантска дейност за нуждите на лежащоболните пациенти в ОАИЛ  на МБАЛ „Д-р Братан Шукеров“ АД“,МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ - Д-Р БРАТАН ШУКЕРОВ АД,00733-2024-0023,Събиране на оферти с обява,2024-12-16,2024-12-04,https://app.eop.bg/today/447688
631,"”Застраховане на лица, имущество и отговорности на Община Кюстендил и второстепенните разпоредители с бюджет по видове и количества заявени от Възложителя”",ОБЩИНА КЮСТЕНДИЛ,00426-2024-0095,Събиране на оферти с обява,2024-12-16,2024-12-04,https://app.eop.bg/today/447163
632,"Предоставяне на самолетни билети, за нуждите на Изпълнителна агенция по рибарство и аквакултури, във връзка с осъществяване на обмяна на опит в Европейска агенция за контрол на рибарството (EFCA) - Виго, Испания",ИЗПЪЛНИТЕЛНА АГЕНЦИЯ ПО РИБАРСТВО И АКВАКУЛТУРИ,00097-2024-0010,Събиране на оферти с обява,2024-12-16,2024-12-04,https://app.eop.bg/today/443498
633,"„Абонаментна поддръжка на софтуерен продукт за управление на човешките ресурси HeRMeS, внедрен в Централно управление, 28-те териториални поделения и фонд Гарантирани вземания на работниците и служителите“",НАЦИОНАЛЕН ОСИГУРИТЕЛЕН ИНСТИТУТ,00145-2024-0109,Договаряне без предварително обявление,2024-12-13,2024-12-04,https://app.eop.bg/today/444645
634,"„Реконструкция на улици, тротоари, съоръжения и принадлежностите към тях в град Годеч, разделена на три позиции“",ОБЩИНА ГОДЕЧ,00275-2024-0018,Публично състезание,2024-12-30,2024-12-04,https://app.eop.bg/today/415752
635,„Осигуряване на шофьори за извършване на транспортно обслужване за нуждите на Център за развитие на човешките ресурси и регионални инициативи (ЦРЧРРИ)“,ЦЕНТЪР ЗА  РАЗВИТИЕ НА ЧОВЕШКИТЕ РЕСУРСИ И РЕГИОНАЛНИ ИНИЦИАТИВИ,00372-2024-0005,Събиране на оферти с обява,2024-12-16,2024-12-04,https://app.eop.bg/today/447748
653,Осигуряване на софтуерна поддръжка,МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ - Д-Р СТАМЕН ИЛИЕВ АД,00468-2024-0013,Покана до определени лица,2024-12-16,2024-12-04,https://app.eop.bg/today/447650
636,"""Услуги по зареждане на тонер-касети за копирна и периферна техника за нуждите на РДСП - Плевен и ДСП на територията на област Плевен""",РЕГИОНАЛНА ДИРЕКЦИЯ ЗА СОЦИАЛНО ПОДПОМАГАНЕ - ГР.ПЛЕВЕН,00496-2024-0058,Събиране на оферти с обява,2024-12-20,2024-12-04,https://app.eop.bg/today/429944
637,"„Доставка на хранителни продукти за нуждите на детска ясла „Осми март”, Домашен социален патронаж, Дом за пълнолетни лица с деменция с. Горско Косово, както и такива, за които Община Сухиндол е осигурила финансиране по различни проекти и програми.“",ОБЩИНА СУХИНДОЛ,00543-2024-0007,Публично състезание,2025-01-03,2024-12-04,https://app.eop.bg/today/443032
638,"Събиране на оферти с обява „Предоставяне на услуги от обществена пералня” за УМБАЛ „Св. Иван Рилски“ ЕАД, София. Референтен номер на поръчката 51/2024","УНИВЕРСИТЕТСКА МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ ""СВ. ИВАН РИЛСКИ"" ЕАД",00594-2024-0038,Събиране на оферти с обява,2024-12-16,2024-12-04,https://app.eop.bg/today/445244
639,"„ДОСТАВКА И МОНТАЖ НА ОБОРУДВАНЕ ЗА ИЗГРАЖДАНЕ НА STEM СРЕДА ЗА НУЖДИТЕ НА ОУ „СВ. СВ. КИРИЛ И МЕТОДИЙ“, С. РАДАНОВО“","ОСНОВНО УЧИЛИЩЕ ""СВ.СВ. КИРИЛ И МЕТОДИЙ""",05110-2024-0001,Събиране на оферти с обява,2024-12-17,2024-12-04,https://app.eop.bg/today/444294
640,"Упражняване на авторски надзор по проект: „Реконструкция на дом за стари хора св. Иван Рилски, гр. Кочериново“ по проект № BG-RRP-11.010-0072, финансиран по Програма „Модернизиране на дългосрочната грижа“ към Национален план за възстановяване и устойчивост по процедура чрез директно предоставяне на средства на конкретни крайни получатели „Извършване на строителни дейности и доставка на оборудване и обзавеждане с оглед реформиране на съществуващите домове за стари хора“",ОБЩИНА  КОЧЕРИНОВО,00777-2024-0022,Договаряне без предварително обявление,2024-12-16,2024-12-04,https://app.eop.bg/today/447725
641,"Извършване на текущи СМР за нуждите на Русенски университет ""Ангел Кънчев""","РУСЕНСКИ УНИВЕРСИТЕТ ""АНГЕЛ КЪНЧЕВ""",00585-2024-0009,Събиране на оферти с обява,2024-12-16,2024-12-04,https://app.eop.bg/today/444161
642,Доставка на металообработваща машина – Струг универсален,АЕЦ КОЗЛОДУЙ ЕАД,00353-2024-0302,Публично състезание,2025-01-08,2024-12-04,https://app.eop.bg/today/444721
643,Подновяване на лиценз за софтуерен продукт XRY Pro за нуждите на Комисия за защита на конкуренцията.,КОМИСИЯ ЗА ЗАЩИТА НА КОНКУРЕНЦИЯТА,01471-2024-0003,Пряко договаряне,2024-12-12,2024-12-04,https://app.eop.bg/today/446736
644,Доставка и управление на ваучери за храна за работници и служители при Център за спешна медицинска помощ – Бургас,ЦЕНТЪР ЗА СПЕШНА МЕДИЦИНСКА ПОМОЩ - БУРГАС,00181-2024-0004,Публично състезание,2024-12-27,2024-12-04,https://app.eop.bg/today/447721
645,Надграждане на система за споделяне на електрически велосипеди за нуждите на Община Бургас,ОБЩИНА БУРГАС,00797-2024-0095,Договаряне без предварително обявление,2024-12-16,2024-12-04,https://app.eop.bg/today/447344
646,Доставка на 1 /един/ брой НОВ КУЛТИВАТОР в ПГСС – гр. КАРНОБАТ,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО СЕЛСКО СТОПАНСТВО И ЛЕКА ПРОМИШЛЕНОСТ,02546-2024-0006,Покана до определени лица,2024-12-15,2024-12-04,https://app.eop.bg/today/447730
647,Подготовка за контрол на метала на турбоагрегат-1 (ТА-1),ТЕЦ МАРИЦА ИЗТОК 2 ЕАД,00246-2024-0147,Публично състезание,2025-01-06,2024-12-04,https://app.eop.bg/today/444607
648,"„Изграждане на два броя открити спортни площадки в СУ ""Георги Бенковски"" гр. Пазарджик по Програма за изграждане и основен ремонт на спортни площадки и физкултурни салони в държавните и общинските училища за периода 2024 – 2026г., Модул 3 „Изграждане и основен ремонт на открити спортни площадки“","СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ БЕНКОВСКИ""",01865-2024-0006,Публично състезание,2025-01-03,2024-12-04,https://app.eop.bg/today/447683
649,“СМЕТОСЪБИРАНЕ И СМЕТОИЗВОЗВАНЕ НА ТВЪРДИ БИТОВИ ОТПАДЪЦИ ОТ НАСЕЛЕНИТЕ МЕСТА НА OБЩИНА ЯКИМОВО ДО РЕГИОНАЛНО ДЕПО ГР. МОНТАНА ЗА ЕДНА ГОДИНА”,ОБЩИНА ЯКИМОВО,00962-2024-0008,Публично състезание,2024-12-27,2024-12-04,https://app.eop.bg/today/447532
650,Доставка на 1 брой представителен лек автомобил,СМЕТНА ПАЛАТА,00769-2024-0008,Събиране на оферти с обява,2024-12-16,2024-12-04,https://app.eop.bg/today/446985
651,Изграждане на пожароизвестителна система в сградата на „Втора САГБАЛ - Шейново ЕАД“,ВТОРА СПЕЦИАЛИЗИРАНА АКУШЕРО-ГИНЕКОЛОГИЧНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ-ШЕЙНОВО ЕАД,00243-2024-0018,Публично състезание,2024-12-30,2024-12-04,https://app.eop.bg/today/447631
652,"„Извършване на строително-ремонтни работи за изграждане на STEM център и високотехнологични оборудвани и свързани класни стаи (ВОСКС) в сградата на ОУ „Христо Ботев"" - гр.Добрич“","ОСНОВНО УЧИЛИЩЕ ""ХР.БОТЕВ""",01645-2024-0003,Събиране на оферти с обява,2024-12-16,2024-12-04,https://app.eop.bg/today/447190
654,„ДОСТАВКИ И УСЛУГИ ПО КОНЦЕПЦИЯ ЗА ИЗГРАЖДАНЕ НА УЧИЛИЩНА СТЕМ СРЕДА” ПРИ ИЗПЪЛНЕНИЕ НА ПРОЦЕДУРА BG-RRP-1.015 „УЧИЛИЩНА STEM СРЕДА“-Поморие,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ ""АЛЕКО КОНСТАНТИНОВ""",04075-2024-0003,Покана до определени лица,2024-12-15,2024-12-04,https://app.eop.bg/today/447672
655,Доставка и монтаж на кутии за трансмитери,БУЛГАРТРАНСГАЗ ЕАД,01351-2024-0076,Публично състезание,2025-01-06,2024-12-04,https://app.eop.bg/today/358892
656,"Доставка, по смисъла на чл. 3, ал. 1, т. 2 от Закона за обществените поръчки - доставка на храна – подкрепителна закуска и обяд за учениците от СУ „Георги Бенковски”,  гр. Пазарджик.","СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ БЕНКОВСКИ""",01865-2024-0005,Събиране на оферти с обява,2024-12-17,2024-12-04,https://app.eop.bg/today/447612
657,„Доставка на електроматериали и консумативи за поддръжка и ремонт на специализираните поделения на ДП РАО”,"ДЪРЖАВНО ПРЕДПРИЯТИЕ ""РАДИОАКТИВНИ ОТПАДЪЦИ"" ДП",00699-2024-0033,Събиране на оферти с обява,2024-12-16,2024-12-04,https://app.eop.bg/today/444735
658,"Доставка на резервни части и услуги по поддръжка и ремонт на помпи SULZER / Supply of spare parts, maintenance and repair of SULZER pumps",ЕЙ И ЕС - 3С МАРИЦА ИЗТОК  І ЕООД,05242-2024-0021,Договаряне без предварителна покана за участие,2024-12-19,2024-12-04,https://app.eop.bg/today/411434
659,"„Доставка, монтаж и гаранционна отговорност на оборудване по проект „Изграждане на училищна STEM среда в ОУ „Христо Ботев“, с. Крумово, по обособени позиции“","ОСНОВНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ"" - с. КРУМОВО",06498-2024-0002,Събиране на оферти с обява,2024-12-16,2024-12-04,https://app.eop.bg/today/447329
660,"Авторски надзор (АН) и техническа помощ (ТП) по време на изпълнение на СМР по инвестиционните проекти в ""АЕЦ Козлодуй"" ЕАД",АЕЦ КОЗЛОДУЙ ЕАД,00353-2024-0301,Покана до определени лица,2024-12-18,2024-12-04,https://app.eop.bg/today/446043
661,"РЕКОНСТРУКЦИЯ НА УЛИЦИ И ПОДМЯНА НА ВОДОПРОВОДНАТА    МРЕЖА НА С.ЙОАКИМ ГРУЕВО, ОБЩИНА СТАМБОЛИЙСКИ",ОБЩИНА СТАМБОЛИЙСКИ,00590-2024-0019,Пряко договаряне,2024-12-23,2024-12-04,https://app.eop.bg/today/447471
662,"Авторски надзор (АН) и техническа помощ (ТП) по време на изпълнение на СМР по инвестиционните проекти в ""АЕЦ Козродуй"" ЕАД.",АЕЦ КОЗЛОДУЙ ЕАД,00353-2024-0300,Покана до определени лица,2024-12-16,2024-12-04,https://app.eop.bg/today/446186
663,Доставка на горива за нуждите на Община Монтана чрез система за зареждане при условията на безналично плащане с разплащателни карти за период от три години,ОБЩИНА МОНТАНА,00019-2024-0053,Договаряне без предварително обявление,2024-12-20,2024-12-04,https://app.eop.bg/today/447575
664,"Реконструкция и модернизация на система за външно изкуствено осветление на община Стамболово – с. Стамболово, с. Жълти Бряг, с. Гледка, с. Малък Извор, с. Долно Ботево, с. Лясковец, с. Зимовина и  с. Пчелари",ОБЩИНА СТАМБОЛОВО,00782-2024-0030,Публично състезание,2024-12-27,2024-12-04,https://app.eop.bg/today/434500
665,"Борсова сделка за доставка на газьол за промишлени и комунални цели за нуждите на IV Езикова гимназия ""Фредерик Жолио-Кюри"" - гр. Варна","ЧЕТВЪРТА ЕЗИКОВА ГИМНАЗИЯ ""ФРЕДЕРИК ЖОЛИО КЮРИ""",02024-2024-0004,Пряко договаряне,2024-12-16,2024-12-04,https://app.eop.bg/today/447578
666,"„Реконструкция на открита спортна площадка, съгласно Модул 3 „Изграждане и основен ремонт на открити спортни площадки по Програма за изграждане и основен ремонт на спортни площадки и физкултурни салони в държавни и общински училища – в двора на ОУ „Панайот Волов“ гр. Пловдив","ОСНОВНО  УЧИЛИЩЕ ""ПАНАЙОТ ВОЛОВ"" - гр. ПЛОВДИВ",02058-2024-0004,Събиране на оферти с обява,2024-12-16,2024-12-04,https://app.eop.bg/today/447280
667,Доставка на горива /Автомобилен бензин А95Н и Дизелово гориво Б6/ за нуждите на ОП „БКД – Елин Пелин”.,БИТОВО-КОМУНАЛНИ ДЕЙНОСТИ - ЕЛИН ПЕЛИН,00024-2024-0018,Пряко договаряне,2024-12-16,2024-12-04,https://app.eop.bg/today/447212
668,"Вътрешен ремонт на Студентско общежитие - Блок 70, сектор „Б“","НАЦИОНАЛНА СПОРТНА АКАДЕМИЯ ""ВАСИЛ ЛЕВСКИ""",00566-2024-0021,Публично състезание,2025-01-03,2024-12-04,https://app.eop.bg/today/446604
669,"„Изработване на инвестиционен проект за реконструкция и основен ремонт на улици и пътища, включително упражняване на авторски надзор по време на строителството, по две обособени позиции“",ОБЩИНА КЮСТЕНДИЛ,00426-2024-0094,Открита процедура,2025-01-03,2024-12-04,https://app.eop.bg/today/446343
670,"Изпълнение функциите на консултант/строителен надзор и Инженер по Договорните условия на ФИДИК, Жълта книга за обект: „Реконструкция на водопроводна мрежа и дъждовна канализация, както и доизграждане на битова канализация на гр. Кнежа“",ВОДОСНАБДЯВАНЕ И КАНАЛИЗАЦИЯ ЕООД,00004-2024-0040,Открита процедура,2025-01-08,2024-12-04,https://app.eop.bg/today/446334
1232,„Демонтаж на метални пасарелки-язовирна стена „Въча“,НАЦИОНАЛНА ЕЛЕКТРИЧЕСКА КОМПАНИЯ ЕАД,00026-2024-0165,Публично състезание,2024-12-11,2024-12-11,https://app.eop.bg/today/442579
671,„Доставка на хирургичен инструментариум за нуждите УМБАЛ „ Света Екатерина“ ЕАД,"Университетска многопрофилна болница за активно лечение ""Света Екатерина"" ЕАД",00010-2024-0043,Открита процедура,2025-01-07,2024-12-04,https://app.eop.bg/today/446258
672,„Доставка на аудио-визуална техника за нуждите на Пловдивски университет „Паисий Хилендарски“,"ПЛОВДИВСКИ УНИВЕРСИТЕТ ""ПАИСИЙ ХИЛЕНДАРСКИ""",00858-2024-0037,Открита процедура,2025-01-09,2024-12-04,https://app.eop.bg/today/446151
673,Доставка на екранирани контролни кабели,Електроразпределение Юг ЕАД,00143-2024-0202,Открита процедура,2025-01-09,2024-12-04,https://app.eop.bg/today/445987
674,Доставка на медицински изделия – консумативи за кардиохирургия и за съдова хирургия (допълваща поръчка),"Многопрофилна болница за активно лечение ""Национална кардиологична болница"" ЕАД",00067-2024-0035,Открита процедура,2025-01-02,2024-12-04,https://app.eop.bg/today/445912
675,"„Подробен устройствен план – изменение на план за регулация и застрояване за поземлени имоти с идентификатори 68134.1112.277, 68134.1112.278, 68134.1112.279, 68134.1112.276, 68134.1112.273, 68134.1112.263, 68134.1112.212, 68134.1112.275, 68134.1112.303, 68134.1112.304 по кадастрална карта и кадастрални регистри на район ""Красна поляна"", гр. София, община Столична”",НАЦИОНАЛНА КОМПАНИЯ ИНДУСТРИАЛНИ ЗОНИ ЕАД,01954-2024-0002,Открита процедура,2025-01-09,2024-12-04,https://app.eop.bg/today/445627
676,„Доставка на един брой употребяван верижен багер и един брой нов хидравличен чук за нуждите на ТП „Държавно горско стопанство Самоков“.,"ТЕРИТОРИАЛНО ПОДЕЛЕНИЕ ДЪРЖАВНО ГОРСКО СТОПАНСТВО""САМОКОВ""",02724-2024-0120,Открита процедура,2025-01-08,2024-12-04,https://app.eop.bg/today/445473
677,„Доставка на продукти за растителна защита”,ДОБРУДЖАНСКИ ЗЕМЕДЕЛСКИ ИНСТИТУТ,00507-2024-0015,Открита процедура,2025-01-06,2024-12-04,https://app.eop.bg/today/445318
678,Избор на доставчик и координатор на балансираща група и доставка на електроенергия средно и ниско напрежение за военни формирования от ВМС,Командване на военноморските сили,02899-2024-0041,Открита процедура,2025-01-09,2024-12-04,https://app.eop.bg/today/445115
679,Доставка на пневматични елементи за изпълнителни механизми,ТЕЦ МАРИЦА ИЗТОК 2 ЕАД,00246-2024-0146,Открита процедура,2025-01-10,2024-12-04,https://app.eop.bg/today/444073
680,Ремонт на моторни инструменти,МРЕЖОВИ ЕКСПЛОАТАЦИОНЕН РАЙОН - ПЛЕВЕН,01379-2024-0180,Открита процедура,2025-01-13,2024-12-04,https://app.eop.bg/today/443388
681,"„Избор на изпълнители за инженеринг (проектиране, строителство и авторски надзор) за енергийно обновяване на многофамилни жилищни сгради на територията на район „Централен“, гр. Пловдив във връзка с процедура „Подкрепа за устойчиво енергийно обновяване на жилищния сграден фонд – Етап I“ за сгради административни адреси както следва: Обособена позиция №1: гр. Пловдив, бул. „Шести Септември“ № 73-75 Обособена позиция №2: гр. Пловдив, бул. „Шести Септември“ № 203-205 Обособена позиция №3: гр. Пловдив, бул. „Копривщица“ № 22-24","ОБЩИНА ПЛОВДИВ - РАЙОН ""ЦЕНТРАЛЕН""",01304-2024-0016,Открита процедура,2025-01-06,2024-12-04,https://app.eop.bg/today/442383
682,"„Подновяване на абонаментни лицензи и софтуер за Единна система за управление на информационната сигурност, събития и уязвимости, свързани с информационните активи на Столична община“",СТОЛИЧНА ОБЩИНА,00087-2024-0143,Открита процедура,2025-01-06,2024-12-04,https://app.eop.bg/today/441213
683,"Избор на оператор за издаване, предоставяне и администриране (ежемесечно зареждане) на ваучери за храна на електронен носител (карта), по смисъла на Наредба № 7 от 9.07.2003 г. за условията и реда за издаване и отнемане на разрешение за извършване на дейност като оператор на ваучери за храна на хартиен и електронен носител, за издаване на ваучери за храна на електронен носител, характеристиките на издаваните ваучери за храна на електронен носител и осъществяване дейност като оператор (Наредба № 7 от 9.07.2003 г.) за служителите на „Фонд мениджър на финансови инструменти в България“ ЕАД (ФМФИБ)",Фонд мениджър на финансови инструменти в България ЕАД,05297-2024-0005,Открита процедура,2025-01-06,2024-12-04,https://app.eop.bg/today/441085
684,"""Абонаментно поддържане и сервизно обслужване на офис техника и доставка на резервни части и консумативи""",ОБЛАСТНО ПЪТНО УПРАВЛЕНИЕ - ЯМБОЛ,00044-2024-0088,Открита процедура,2025-01-28,2024-12-04,https://app.eop.bg/today/440946
700,"„Почистване на нерегламентирано сметище, находящо се на територията на с. Кривина, СО район „Панчарево”","РАЙОН ""ПАНЧАРЕВО""",01269-2024-0014,Събиране на оферти с обява,2024-12-13,2024-12-11,https://app.eop.bg/today/447477
718,Доставка на техническо оборудване за учебна работилница към ПГ „Стефан Караджа“– гр. Елхово,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ""СТЕФАН КАРАДЖА""",02582-2024-0002,Събиране на оферти с обява,2024-12-13,2024-12-11,https://app.eop.bg/today/447210
685,"„Определяне на изпълнител за извършване на оценка на въздействието върху пътната безопасност в участъка СОП /надлеза над бул. Ботевградско шосе на стария пътен възел ,,Ботевградско шосе“/ - в това число включване в ССТ посока АМ ,,Калотина“, включване в АМ „Хемус“, включване в Републикански път I-1, включване в Челопешко шосе“","АГЕНЦИЯ  ""ПЪТНА ИНФРАСТРУКТУРА""",00044-2024-0087,Открита процедура,2025-01-07,2024-12-04,https://app.eop.bg/today/439964
686,"„Осъществяване на охрана със сигнално-охранителна техника /СОТ/ и на жива денонощна,  невъоръжена охрана на имоти-държавна собственост, стопанисвани от АПИ - ОПУ - Хасково”",ОБЛАСТНО ПЪТНО УПРАВЛЕНИЕ - ХАСКОВО,00044-2024-0086,Открита процедура,2025-01-06,2024-12-04,https://app.eop.bg/today/439878
687,"""Публикуване на материали в интернет издания и социални мрежи за популяризиране на Програма „Околна среда“ 2021- 2027 г.""",МИНИСТЕРСТВО НА ОКОЛНАТА СРЕДА И ВОДИТЕ,00258-2024-0029,Открита процедура,2025-01-06,2024-12-04,https://app.eop.bg/today/438732
688,„Изработване на разширен идеен проект с пълни инженерно-геоложки проучвания и проект на ПУП-ПП за модернизация на път I-9  в участъка „Бургас - ГКПП Малко Търново“,"АГЕНЦИЯ  ""ПЪТНА ИНФРАСТРУКТУРА""",00044-2024-0085,Открита процедура,2025-01-16,2024-12-04,https://app.eop.bg/today/437099
689,"Строителство на обект: „Реконструкция на улична водопроводна мрежа на село Кърналово, община Петрич, област Благоевград“",ОБЩИНА ПЕТРИЧ,00212-2024-0033,Открита процедура,2025-01-06,2024-12-04,https://app.eop.bg/today/435910
690,„Оценка за съответствието на инвестиционните проекти и осъществяване на строителен надзор по време на строителството на обекти в община Казанлък по осемнадесет обособени позиции“,ОБЩИНА КАЗАНЛЪК,00119-2024-0070,Открита процедура,2025-01-03,2024-12-04,https://app.eop.bg/today/431022
691,"Изготвяне на инвестиционен проект, упражняване на авторски надзор и изграждане на обект ""Външно ел. захранване за увеличаване предоставената мощност в съществуващ ТП ""МВР Симеоново III"" от 400 kW на 1000 kW""",Дирекция Управление на собствеността и социални дейности /ДУССД/ към Министерство на вътрешните работи - МВР,02851-2024-0064,Открита процедура,2025-01-13,2024-12-04,https://app.eop.bg/today/417214
692,"„Изготвяне на инвестиционни проекти за основни ремонти на улици, собственост на Община Ямбол и за изграждане на кръгови кръстовища по четири обособени позиции“",ОБЩИНА ЯМБОЛ,00339-2024-0050,Открита процедура,2025-01-06,2024-12-04,https://app.eop.bg/today/447291
693,"„Извършване на услуги по извънгаранционно техническо обслужване, ремонт и поддръжка (периодични технически прегледи) вкл. подготовка за преминаване на годишен технически преглед (ГТП), с включена доставка на резервни части, аксесоари и материали, доставени от изпълнителя за извънгаранционните служебни МПС, собственост на ЦУ на СИДП ДП – Шумен, за срок от една година, считано от датата на сключване на договора“",СЕВЕРОИЗТОЧНО ДЪРЖАВНО ПРЕДПРИЯТИЕ ДП,02711-2024-0115,Открита процедура,2025-01-06,2024-12-04,https://app.eop.bg/today/447249
694,Доставка и въвеждане в експлоатация на апаратура за синтез под налягане и вакуум,ХИМИКОТЕХНОЛОГИЧЕН И МЕТАЛУРГИЧЕН УНИВЕРСИТЕТ (ХТМУ),00891-2024-0046,Открита процедура,2025-01-06,2024-12-04,https://app.eop.bg/today/447156
695,"ДОСТАВКА НА РЕЗЕРВНИ ЧАСТИ И РЕМОНТНИ УСЛУГИ ЗА СЛУЖЕБНИТЕ АВТОМОБИЛИ СОБСТВЕНОСТ НА СЦДП ДП – ГР.ГАБРОВО, СТОПАНИСВАНИ ОТ ТП ДЛС „КАРАКУЗ”– ГР. ДУЛОВО ЗА СРОК ОТ 12 (ДВАНАДЕСЕТ) КАЛЕНДАРНИ МЕСЕЦА","ТЕРИТОРИАЛНО ПОДЕЛЕНИЕ ДЪРЖАВНО ЛОВНО СТОПАНСТВО ""КАРАКУЗ""",02712-2024-0032,Открита процедура,2025-01-03,2024-12-04,https://app.eop.bg/today/447027
696,"„Ремонт пътища, улици и тротоари в населените места на Община Дряново 2025-2027 г.”",ОБЩИНА ДРЯНОВО,00840-2024-0023,Публично състезание,2024-12-27,2024-12-04,https://app.eop.bg/today/446435
697,"„Следгаранционно сервизно обслужване на климатици в работни и сървърни помещения на РЗОК – Сливен, включително доставка и монтаж на резервни части""",РАЙОННА ЗДРАВНООСИГУРИТЕЛНА КАСА - СЛИВЕН,00207-2024-0125,Пряко договаряне,2024-12-18,2024-12-04,https://app.eop.bg/today/447407
698,"ОП- ДГС Шумен -2-2024г.  „Извършване на товаро-разтоварни дейности с включен транспорт за нуждите на ТП „ДГС Шумен” за срок от една година, от датата на сключването на договора""","ТЕРИТОРИАЛНО ПОДЕЛЕНИЕ ""ДЪРЖАВНО ГОРСКО СТОПАНСТВО ШУМЕН""",02711-2024-0114,Публично състезание,2025-01-07,2024-12-04,https://app.eop.bg/today/447172
699,"Доставка на хранителни продукти за нуждите на  МБАЛ „Св. Николай Чудотворец” ЕООД – гр. Лом, по шест обособени позиции",МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ - СВЕТИ НИКОЛАЙ ЧУДОТВОРЕЦ ЕООД,00463-2024-0010,Публично състезание,2025-01-13,2024-12-04,https://app.eop.bg/today/447335
701,"Почистване от струпани строителни и битови отпадъци на терени общинска собственост, находящи се на територията на район „Кремиковци“, Столична община“ по обособени позиции","РАЙОН ""КРЕМИКОВЦИ""",01261-2024-0022,Събиране на оферти с обява,2024-12-13,2024-12-11,https://app.eop.bg/today/447459
702,"„Реконструкция и рехабилитация на улици в община Доспат в две обособени позиции: Обособена позиция № 1 – Реконструкция и рехабилитация на улици в град Доспат Обособена позиция № 2 – Реконструкция на улица „Тракия“ в с. Барутин, Община Доспат“",ОБЩИНА ДОСПАТ,00166-2024-0020,Публично състезание,2024-12-23,2024-12-11,https://app.eop.bg/today/447347
703,"„Строително монтажни  работи за изграждане на СТЕМ център в 90-то средно училище “Генерал Хосе де Сан Мартин”, гр. София” по процедура BG-RRP-1.015 „УЧИЛИЩНА STEM СРЕДА“","90-ТО СРЕДНО УЧИЛИЩЕ ""ГЕН.ХОСЕ ДЕ САН МАРТИН""",04060-2024-0004,Публично състезание,2024-12-13,2024-12-11,https://app.eop.bg/today/447419
704,"Инженеринг - проектиране, авторски надзор и изпълнение на СМР на обект: Изграждане на 1 брой бунгало и пристройка към съществуваща хижа „Копрен“, с. Копиловци, общ. Георги Дамяново",ОБЩИНА ГЕОРГИ ДАМЯНОВО,01139-2024-0027,Събиране на оферти с обява,2024-12-13,2024-12-11,https://app.eop.bg/today/447364
